block_size,insertion,selection
1,0.001000	,0.00000
2,0.00000	,0.00000
3,0.00000	,0.00000
4,0.00000	,0.00100
5,0.00100	,0.00000
6,0.00100	,0.00100
7,0.00100	,0.00200
8,0.00200	,0.00200
9,0.00200	,0.00200
10,0.00200	,0.00200
11,0.00200	,0.00400
12,0.00300	,0.00400
13,0.00300	,0.00500
14,0.00300	,0.00600
15,0.00500	,0.00700
16,0.00500	,0.00700
17,0.00500	,0.00800
18,0.00600	,0.00900
19,0.00700	,0.01000
20,0.00800	,0.01100
21,0.00900	,0.01400
22,0.00900	,0.01300
23,0.00900	,0.01500
24,0.01000	,0.01500
25,0.01100	,0.01600
26,0.01200	,0.01900
27,0.01200	,0.02000
28,0.01300	,0.02000
29,0.01400	,0.02200
30,0.01600	,0.02300
31,0.01600	,0.02500
32,0.01700	,0.02700
33,0.01900	,0.02700
34,0.02000	,0.02900
35,0.02100	,0.03100
36,0.02300	,0.03300
37,0.02400	,0.03500
38,0.02600	,0.03600
39,0.02600	,0.03900
40,0.02700	,0.04500
41,0.03200	,0.05300
42,0.03000	,0.04500
43,0.03200	,0.04700
44,0.03400	,0.04900
45,0.03500	,0.05200
46,0.03600	,0.05400
47,0.03800	,0.05600
48,0.03900	,0.05900
49,0.04100	,0.06000
50,0.04500	,0.06300
51,0.04600	,0.07100
52,0.04700	,0.06900
53,0.04800	,0.07100
54,0.05000	,0.08500
55,0.06400	,0.09000
56,0.05300	,0.08000
57,0.05400	,0.08300
58,0.06000	,0.08800
59,0.06000	,0.08900
60,0.06100	,0.09100
61,0.06400	,0.11000
62,0.07100	,0.10400
63,0.07200	,0.10400
64,0.07400	,0.11000
65,0.07800	,0.11100
66,0.08500	,0.11200
67,0.07900	,0.11300
68,0.08000	,0.11700
69,0.08200	,0.12100
70,0.08800	,0.12300
71,0.08700	,0.12600
72,0.08900	,0.13000
73,0.09200	,0.14200
74,0.09300	,0.13900
75,0.09600	,0.14200
76,0.10000	,0.14300
