Block	MerSort	QuickSort	Swaps
1	0.000036	0.000021	412
2	0.000060	0.000041	1358
3	0.000099	0.000065	2880
4	0.000132	0.000090	4983
5	0.000170	0.000115	7573
6	0.000155	0.000104	10555
7	0.000183	0.000131	14619
8	0.000215	0.000162	19699
9	0.000238	0.000176	26351
10	0.000271	0.000191	31856
11	0.000300	0.000211	38566
12	0.000324	0.000232	47268
13	0.000363	0.000254	55977
14	0.000315	0.000224	66296
15	0.000331	0.000237	75731
16	0.000360	0.000256	86852
17	0.000382	0.000272	98090
18	0.000401	0.000285	109560
19	0.000428	0.000324	122343
20	0.000377	0.000271	136494
21	0.000392	0.000299	154171
22	0.000420	0.000300	168561
23	0.000446	0.000313	182506
24	0.000462	0.000342	200760
25	0.000418	0.000302	220867
26	0.000429	0.000316	238129
27	0.000458	0.000334	259351
28	0.000467	0.000348	280198
29	0.000485	0.000365	301143
30	0.000442	0.000325	325909
31	0.000451	0.000333	349069
32	0.000473	0.000338	370741
33	0.000493	0.000359	396030
34	0.000501	0.000334	424812
35	0.000464	0.000340	450815
36	0.000473	0.000353	476189
37	0.000493	0.000364	503968
38	0.000510	0.000402	532663
39	0.000471	0.000366	569537
40	0.000507	0.000400	600854
41	0.000489	0.000402	629658
42	0.000508	0.000370	660898
43	0.000524	0.000380	690967
44	0.000541	0.000400	724223
45	0.000601	0.000396	755928
46	0.000560	0.000413	789173
47	0.000592	0.000421	820428
48	0.000611	0.000443	855168
49	0.000619	0.000466	895768
50	0.000636	0.000464	935853
51	0.000638	0.000478	973169
52	0.000653	0.000486	1012962
53	0.000672	0.000511	1052896
54	0.000688	0.000509	1096698
55	0.000699	0.000525	1141994
56	0.000719	0.000532	1187352
57	0.000732	0.000537	1231035
58	0.000741	0.000538	1276203
59	0.000753	0.000576	1325445
60	0.000766	0.000575	1378275
61	0.000778	0.000578	1423362
62	0.000789	0.000589	1475521
63	0.000813	0.000608	1525390
64	0.000825	0.000633	1581623
65	0.000850	0.000638	1639090
66	0.000855	0.000628	1691076
67	0.000868	0.000632	1739266
68	0.000887	0.000660	1799287
69	0.000899	0.000661	1849850
70	0.000908	0.000671	1906496
71	0.000921	0.000686	1960736
72	0.000927	0.000691	2016886
73	0.000950	0.000723	2082175
74	0.000965	0.000707	2140861
75	0.000982	0.000714	2195105
76	0.000996	0.000741	2253358
77	0.001008	0.000756	2313217
78	0.001024	0.000768	2375518
79	0.001037	0.000770	2435083
80	0.001051	0.000786	2501703
81	0.001057	0.000812	2576784
82	0.001067	0.000801	2643143
83	0.001088	0.000824	2710213
84	0.001104	0.000826	2777171
85	0.001126	0.000833	2846992
86	0.001139	0.000854	2920313
87	0.001154	0.000866	2992575
88	0.001174	0.000873	3066277
89	0.001184	0.000875	3135111
90	0.001199	0.000901	3216417
91	0.001217	0.000907	3288184
92	0.001221	0.000901	3360940
93	0.001234	0.000913	3436900
94	0.001255	0.000924	3513043
95	0.001265	0.000935	3595552
96	0.001252	0.000928	3669622
97	0.001305	0.000966	3749831
98	0.001332	0.001021	3834907
99	0.001294	0.000968	3919595
100	0.001303	0.000983	4008323
101	0.001351	0.000992	4096052
102	0.001321	0.001045	4178083
103	0.001331	0.001037	4279581
104	0.001353	0.001017	4367471
105	0.001417	0.001009	4447758
106	0.001387	0.001040	4539115
107	0.001400	0.001044	4628756
108	0.001414	0.001062	4720133
109	0.001437	0.001059	4809129
110	0.001447	0.001104	4913553
111	0.001461	0.001088	5002906
112	0.001473	0.001129	5101302
113	0.001482	0.001147	5209100
114	0.001501	0.001116	5304963
115	0.001525	0.001166	5411372
116	0.001535	0.001155	5503295
117	0.001545	0.001174	5608145
118	0.001560	0.001145	5700505
119	0.001574	0.001152	5795331
120	0.001585	0.001208	5898518
121	0.001592	0.001207	5999440
122	0.001601	0.001218	6094510
123	0.001610	0.001212	6196708
124	0.001631	0.001239	6309374
125	0.001651	0.001238	6417532
126	0.001676	0.001278	6529948
127	0.001689	0.001270	6634355
128	0.001697	0.001277	6738263
129	0.001715	0.001300	6848682
130	0.001731	0.001319	6965489
131	0.001746	0.001317	7080320
132	0.001758	0.001331	7194782
133	0.001771	0.001346	7316009
134	0.001781	0.001348	7440517
135	0.001799	0.001408	7555309
136	0.001822	0.001361	7666004
137	0.001834	0.001364	7776148
138	0.001848	0.001435	7912126
139	0.001866	0.001381	8025259
140	0.001877	0.001397	8142241
141	0.001888	0.001446	8272951
142	0.001903	0.001438	8411339
143	0.001914	0.001425	8526632
144	0.001923	0.001473	8659941
145	0.001944	0.001467	8793866
146	0.001963	0.001472	8914991
147	0.001974	0.001457	9031886
148	0.001989	0.001556	9171729
149	0.002008	0.001510	9297252
150	0.002016	0.001534	9434439
151	0.001987	0.001488	9559539
152	0.002036	0.001557	9688278
153	0.002048	0.001509	9819019
154	0.002062	0.001557	9964732
155	0.002041	0.001515	10098697
156	0.002057	0.001592	10265170
157	0.002070	0.001604	10404496
158	0.002085	0.001627	10571852
159	0.002123	0.001641	10723123
160	0.002110	0.001578	10865165
161	0.002144	0.001585	10994299
162	0.002122	0.001717	11154309
163	0.002137	0.001614	11295113
164	0.002177	0.001635	11432742
165	0.002168	0.001605	11568575
166	0.002220	0.001685	11732397
167	0.002204	0.001703	11875133
168	0.002220	0.001669	12029490
169	0.002265	0.001685	12180714
170	0.002319	0.001736	12343190
171	0.002268	0.001713	12479822
172	0.002318	0.001719	12636386
173	0.002339	0.001715	12794728
174	0.002316	0.001772	12940557
175	0.002418	0.001811	13088604
176	0.002351	0.001763	13243023
177	0.002423	0.001799	13405464
178	0.002377	0.001811	13564726
179	0.002394	0.001794	13732574
180	0.002451	0.001862	13915221
181	0.002423	0.001837	14069944
182	0.002438	0.001877	14231945
183	0.002499	0.001898	14394370
184	0.002492	0.001900	14575673
185	0.002525	0.001912	14741309
186	0.002478	0.001897	14902118
187	0.002533	0.001914	15059162
188	0.002547	0.001904	15217045
189	0.002534	0.001887	15376764
190	0.002580	0.001988	15568049
191	0.002595	0.001957	15722416
192	0.002658	0.002044	15896034
193	0.003049	0.002155	16084871
194	0.002730	0.002136	16277989
195	0.002879	0.001998	16439977
196	0.002738	0.002153	16616846
197	0.002788	0.002154	16823169
198	0.002816	0.002106	16996675
199	0.002757	0.002056	17177806
200	0.002686	0.002082	17354454
201	0.002824	0.002052	17544091
202	0.002796	0.002160	17737035
203	0.002770	0.002085	17924117
204	0.002726	0.002175	18129185
205	0.002797	0.002085	18317713
206	0.002799	0.002213	18494492
207	0.002842	0.002158	18676911
208	0.002857	0.002164	18859949
209	0.002878	0.002231	19059756
210	0.002890	0.002161	19234827
211	0.002917	0.002180	19419655
212	0.002931	0.002195	19599164
213	0.002948	0.002265	19812163
214	0.002967	0.002221	19989248
215	0.002974	0.002276	20191087
216	0.003004	0.002283	20399471
217	0.003008	0.002316	20612254
218	0.003032	0.002282	20818037
219	0.003043	0.002296	21011495
220	0.003056	0.002280	21200925
221	0.003080	0.002315	21402834
222	0.003018	0.002285	21592797
223	0.003028	0.002305	21791962
224	0.003072	0.002411	22005578
