Block	MerSort	QuickSort	Swaps
1	0.000012	0.000008	363
2	0.000020	0.000014	1481
3	0.000034	0.000022	2665
4	0.000044	0.000030	4614
5	0.000055	0.000039	7253
6	0.000068	0.000046	10012
7	0.000081	0.000056	13496
8	0.000096	0.000064	17547
9	0.000106	0.000078	23127
10	0.000118	0.000088	29371
11	0.000136	0.000096	35690
12	0.000150	0.000107	43852
13	0.000158	0.000116	52251
14	0.000180	0.000122	61067
15	0.000191	0.000133	68692
16	0.000202	0.000144	79024
17	0.000214	0.000150	89083
18	0.000223	0.000161	100756
19	0.000242	0.000171	111995
20	0.000251	0.000179	123407
21	0.000266	0.000190	135935
22	0.000285	0.000199	151069
23	0.000293	0.000209	163649
24	0.000309	0.000224	179096
25	0.000322	0.000236	195028
26	0.000339	0.000247	211510
27	0.000359	0.000257	229521
28	0.000365	0.000264	246633
29	0.000381	0.000275	263953
30	0.000390	0.000292	287417
31	0.000404	0.000296	307632
32	0.000424	0.000314	329767
33	0.000436	0.000317	352657
34	0.000454	0.000327	375764
35	0.000467	0.000340	397508
36	0.000486	0.000355	421380
37	0.000501	0.000365	448819
38	0.000510	0.000367	474118
39	0.000547	0.000341	500412
40	0.000484	0.000349	525427
41	0.000490	0.000367	557276
42	0.000508	0.000375	583796
43	0.000525	0.000389	616643
44	0.000537	0.000407	653904
45	0.000550	0.000397	684423
46	0.000604	0.000412	717879
47	0.000574	0.000421	752059
48	0.000595	0.000431	782980
49	0.000660	0.000445	817529
50	0.000615	0.000466	855245
51	0.000625	0.000456	891560
52	0.000640	0.000485	933862
53	0.000657	0.000482	970484
54	0.000670	0.000535	1009533
55	0.000683	0.000516	1056661
56	0.000699	0.000511	1098559
57	0.000756	0.000522	1141278
58	0.000726	0.000534	1183019
59	0.000735	0.000586	1226648
60	0.000747	0.000549	1269494
61	0.000756	0.000579	1318171
62	0.000774	0.000587	1369032
63	0.000791	0.000592	1416423
64	0.000845	0.000587	1465279
65	0.000822	0.000604	1511998
66	0.000875	0.000621	1564405
67	0.000844	0.000635	1614663
68	0.000897	0.000630	1663120
69	0.000876	0.000720	1707560
70	0.000917	0.000737	1767367
71	0.000896	0.000672	1827132
72	0.000944	0.000674	1880743
73	0.000927	0.000697	1940504
74	0.000940	0.000695	1998981
75	0.000954	0.000710	2058847
76	0.000968	0.000707	2119236
77	0.000982	0.000721	2177678
78	0.000995	0.000745	2245880
79	0.001010	0.000768	2314755
80	0.001044	0.000789	2374850
81	0.001065	0.000780	2431211
82	0.001070	0.000809	2495250
83	0.001088	0.000794	2551401
84	0.001106	0.000822	2615304
85	0.001123	0.000845	2677975
86	0.001137	0.000869	2749522
87	0.001151	0.000866	2814855
88	0.001174	0.000894	2887968
89	0.001190	0.000924	2974133
90	0.001202	0.000908	3047792
91	0.001214	0.000899	3115371
92	0.001224	0.000895	3183918
93	0.001237	0.000934	3258328
94	0.001255	0.000924	3327631
95	0.001268	0.000944	3402244
96	0.001289	0.000948	3474032
97	0.001298	0.000973	3551336
98	0.001311	0.000968	3623237
99	0.001322	0.001004	3705116
100	0.001337	0.000982	3785934
101	0.001347	0.000992	3860468
102	0.001349	0.001029	3940905
103	0.001373	0.001009	4016309
104	0.001394	0.001050	4102255
105	0.001406	0.001098	4205243
106	0.001427	0.001075	4293062
107	0.001440	0.001096	4372701
108	0.001456	0.001090	4460838
109	0.001472	0.001100	4548561
110	0.001483	0.001133	4646235
111	0.001499	0.001117	4737876
112	0.001512	0.001156	4842718
113	0.001521	0.001146	4934104
114	0.001551	0.001154	5022046
115	0.001523	0.001117	5105515
116	0.001539	0.001164	5203815
117	0.001549	0.001167	5304717
118	0.001560	0.001167	5394006
119	0.001575	0.001209	5503051
120	0.001585	0.001186	5607986
121	0.001601	0.001213	5716014
122	0.001606	0.001192	5806797
123	0.001650	0.001234	5908351
124	0.001638	0.001230	6008886
125	0.001654	0.001238	6105449
126	0.001668	0.001259	6201305
127	0.001686	0.001259	6309978
128	0.001698	0.001269	6416485
129	0.001718	0.001292	6525252
130	0.001733	0.001290	6634724
131	0.001750	0.001301	6743041
132	0.001754	0.001310	6843380
133	0.001763	0.001339	6954057
134	0.001785	0.001328	7054896
135	0.001800	0.001346	7176760
136	0.001816	0.001349	7292413
137	0.001836	0.001380	7407120
138	0.001849	0.001374	7515901
139	0.001858	0.001416	7630417
140	0.001872	0.001401	7738412
141	0.001863	0.001429	7861039
142	0.001849	0.001409	7982946
143	0.001860	0.001428	8091877
144	0.001874	0.001391	8198170
145	0.001955	0.001426	8313914
146	0.001913	0.001437	8432717
147	0.001955	0.001498	8576902
148	0.002064	0.001492	8694187
149	0.002040	0.001542	8835457
150	0.001973	0.001469	8965331
151	0.001985	0.001498	9105433
152	0.002031	0.001571	9243092
153	0.002006	0.001566	9381577
154	0.002083	0.001531	9509605
155	0.002070	0.001549	9647695
156	0.002081	0.001549	9778637
157	0.002065	0.001562	9923355
158	0.002076	0.001583	10056474
159	0.002093	0.001583	10179808
160	0.002102	0.001604	10316923
161	0.002146	0.001604	10457607
162	0.002124	0.001618	10615322
163	0.002134	0.001620	10748304
164	0.002146	0.001651	10896682
165	0.002169	0.001658	11026789
166	0.002220	0.001636	11157396
167	0.002232	0.001645	11290351
168	0.002217	0.001702	11435927
169	0.002238	0.001732	11589043
170	0.002331	0.001660	11721888
171	0.002301	0.001695	11883783
172	0.002292	0.001729	12025487
173	0.002308	0.001712	12163311
174	0.002381	0.001734	12314413
175	0.002334	0.001769	12455924
176	0.002353	0.001756	12601681
177	0.002393	0.001821	12787593
178	0.002380	0.001793	12949392
179	0.002393	0.001800	13100364
180	0.002438	0.001836	13245104
181	0.002507	0.001893	13419395
182	0.002465	0.001851	13583484
183	0.002477	0.001893	13743860
184	0.002451	0.001856	13890759
185	0.002500	0.001845	14038537
186	0.002542	0.001871	14186368
187	0.002497	0.001881	14350194
188	0.002546	0.001890	14491511
189	0.002532	0.001971	14664454
190	0.002548	0.001936	14838406
191	0.002594	0.001939	14992176
192	0.002575	0.001993	15165360
193	0.002591	0.001948	15317369
194	0.002599	0.001968	15492411
195	0.002650	0.001945	15647503
196	0.002708	0.002221	15838508
197	0.003092	0.002242	16030317
198	0.002708	0.002099	16187591
199	0.002833	0.002349	16358134
200	0.002845	0.002087	16515198
201	0.002793	0.002142	16688628
202	0.002822	0.002105	16863149
203	0.002792	0.002119	17016577
204	0.002832	0.002170	17207600
205	0.002805	0.002246	17401167
206	0.002859	0.002175	17584576
207	0.002874	0.002179	17760308
208	0.002852	0.002185	17922706
209	0.002943	0.002397	18096212
210	0.002954	0.002217	18279096
211	0.002962	0.002249	18471331
212	0.003273	0.002232	18651463
213	0.002996	0.002231	18830546
214	0.002963	0.002222	19019348
215	0.002979	0.002240	19202822
216	0.002993	0.002294	19403932
217	0.003013	0.002300	19595581
218	0.003030	0.002261	19768694
219	0.003042	0.002304	19949608
220	0.003055	0.002326	20157400
221	0.003073	0.002314	20345425
222	0.003086	0.002356	20549710
223	0.003104	0.002311	20738978
224	0.003117	0.002322	20916863
225	0.003133	0.002434	21116022
226	0.003145	0.002421	21334417
227	0.003162	0.002386	21525896
228	0.003208	0.002396	21724294
229	0.003192	0.002394	21911533
230	0.003211	0.002393	22111210
231	0.003216	0.002442	22316566
232	0.003236	0.002417	22512578
233	0.003254	0.002555	22752293
234	0.003272	0.002453	22955412
235	0.003276	0.002448	23142185
236	0.003288	0.002510	23346075
237	0.003312	0.002535	23562354
238	0.003317	0.002492	23751915
239	0.003334	0.002530	23973701
240	0.003352	0.002510	24170228
241	0.003359	0.002602	24397351
242	0.003364	0.002526	24596286
243	0.003373	0.002578	24805086
244	0.003427	0.002550	25014030
245	0.003368	0.002536	25236456
246	0.003353	0.002537	25433751
247	0.003378	0.002534	25640626
248	0.003401	0.002541	25866198
249	0.003419	0.002625	26101479
250	0.003402	0.002549	26310605
251	0.003428	0.002623	26522458
252	0.003472	0.002615	26751367
253	0.003484	0.002586	26966650
254	0.003503	0.002618	27181538
255	0.003514	0.002621	27393537
256	0.003620	0.002752	27612387
257	0.003645	0.002745	27820100
258	0.003694	0.002793	28078892
259	0.003633	0.002717	28307743
260	0.003624	0.002737	28518662
261	0.003641	0.002797	28765475
262	0.003654	0.002768	28988635
263	0.003662	0.002790	29229399
264	0.003712	0.002871	29507537
265	0.003661	0.002768	29727409
266	0.003666	0.002872	29959737
267	0.003687	0.002849	30204938
268	0.003742	0.002903	30458044
269	0.003777	0.002894	30723976
270	0.003815	0.002930	30981948
271	0.003834	0.002937	31229872
272	0.003842	0.002905	31471497
273	0.003858	0.002980	31728829
274	0.003875	0.002964	31974602
275	0.003896	0.002973	32226901
276	0.003960	0.003053	32450922
277	0.003925	0.002947	32688900
278	0.004174	0.003033	32927519
279	0.003984	0.003086	33205623
280	0.003999	0.003050	33458816
281	0.004020	0.003057	33709175
282	0.004089	0.003027	33969468
283	0.004039	0.003094	34202651
284	0.004079	0.003061	34449181
285	0.004073	0.003335	34716569
286	0.004078	0.003093	34972070
287	0.004349	0.003319	35247863
288	0.004110	0.003196	35533202
289	0.004128	0.003122	35798102
290	0.004133	0.003204	36083791
291	0.004150	0.003177	36332556
292	0.004175	0.003115	36597695
293	0.004150	0.003154	36856318
294	0.004168	0.003130	37092970
295	0.004186	0.003240	37415719
296	0.004208	0.003228	37678532
297	0.004224	0.003194	37911480
298	0.004239	0.003186	38163284
299	0.004249	0.003221	38432794
300	0.004271	0.003213	38708505
301	0.004284	0.003239	38970757
302	0.004301	0.003278	39260160
303	0.004246	0.003380	39571711
304	0.004263	0.003236	39820734
305	0.004274	0.003243	40096592
306	0.004290	0.003262	40345559
307	0.004298	0.003250	40642803
308	0.004314	0.003276	40916287
309	0.004357	0.003443	41242420
310	0.004338	0.003283	41525614
311	0.004353	0.003402	41855764
312	0.004372	0.003308	42156449
313	0.004379	0.003334	42475282
314	0.004373	0.003300	42757894
315	0.004414	0.003327	43049861
316	0.004452	0.003346	43318326
317	0.004481	0.003384	43605304
318	0.004460	0.003346	43861725
319	0.004551	0.003428	44146343
320	0.004509	0.003457	44426821
321	0.004559	0.003490	44717752
322	0.004594	0.003464	44995990
323	0.004590	0.003538	45310365
324	0.004592	0.003499	45601595
325	0.004610	0.003476	45872771
326	0.004632	0.003486	46153985
327	0.004628	0.003584	46479836
328	0.004640	0.003677	46815652
329	0.004678	0.003568	47099673
330	0.004705	0.003566	47408062
331	0.004724	0.003671	47722113
332	0.004734	0.003688	48041424
333	0.004770	0.003625	48350044
334	0.004686	0.003589	48666844
335	0.004712	0.003522	48947581
336	0.004730	0.003675	49280189
337	0.004714	0.003571	49580087
338	0.004763	0.003592	49890964
339	0.004778	0.003605	50196952
340	0.004790	0.003636	50539484
341	0.004812	0.003687	50862398
342	0.004828	0.003646	51203260
343	0.004898	0.003642	51527304
344	0.004915	0.003736	51828285
345	0.004887	0.003781	52172622
346	0.004935	0.003696	52512965
347	0.004915	0.003712	52854281
348	0.004930	0.003732	53150833
349	0.004983	0.003834	53475160
350	0.005083	0.003774	53802947
351	0.005028	0.003785	54112175
352	0.005094	0.003852	54413005
353	0.005116	0.003872	54762005
354	0.005128	0.003890	55102307
355	0.005138	0.003900	55437853
356	0.005157	0.003904	55754916
357	0.005160	0.003966	56065190
358	0.005174	0.003993	56407446
359	0.005199	0.004056	56769853
360	0.005200	0.003815	57081611
361	0.005163	0.003996	57457173
362	0.005220	0.003908	57812747
363	0.005230	0.003987	58173405
364	0.005239	0.003927	58496636
365	0.005201	0.003993	58840733
366	0.005216	0.003922	59160938
367	0.005206	0.003961	59492233
368	0.005273	0.004127	59837378
369	0.005326	0.004092	60208056
370	0.005349	0.004095	60545873
371	0.005725	0.004148	60877969
372	0.005425	0.004438	61182065
373	0.005431	0.004129	61508474
374	0.005512	0.004433	61881984
375	0.005495	0.004136	62241794
376	0.005481	0.004144	62581595
377	0.005511	0.004247	62910209
378	0.005609	0.004308	63283926
379	0.005631	0.004409	63710251
380	0.005660	0.004348	64073624
381	0.005680	0.004303	64408866
382	0.005699	0.004321	64756094
383	0.005714	0.004302	65107442
384	0.005724	0.004335	65451571
385	0.005718	0.004297	65819645
386	0.005609	0.004280	66172676
387	0.005625	0.004333	66538092
388	0.005632	0.004261	66898637
389	0.005645	0.004245	67247239
390	0.005659	0.004298	67616569
391	0.005681	0.004328	67969259
392	0.005694	0.004340	68358964
393	0.005690	0.004226	68733080
394	0.005689	0.004254	69087378
395	0.005716	0.004305	69437076
396	0.005678	0.004393	69826515
397	0.005666	0.004272	70179660
398	0.005706	0.004341	70550018
399	0.005688	0.004338	70922900
400	0.005700	0.004450	71352462
401	0.005710	0.004422	71705499
402	0.005814	0.004620	72151012
403	0.005885	0.004495	72535912
404	0.005818	0.004587	72924882
405	0.005828	0.004492	73335264
406	0.005782	0.004731	73807119
407	0.005952	0.004463	74188316
408	0.005868	0.004629	74548582
409	0.006101	0.004735	74944189
410	0.006104	0.004782	75357048
411	0.006106	0.004651	75735927
412	0.006120	0.004622	76115498
413	0.006141	0.004722	76526413
414	0.006157	0.004686	76882494
415	0.006179	0.004874	77326784
416	0.006196	0.004786	77707665
417	0.006213	0.004731	78113769
418	0.006231	0.004734	78486099
419	0.006247	0.004814	78857773
420	0.006267	0.004830	79241390
421	0.006279	0.004781	79632344
422	0.006312	0.004813	80042585
423	0.006331	0.004707	80429603
424	0.006064	0.004577	80804155
425	0.006110	0.004730	81220163
426	0.006096	0.004737	81636061
427	0.006226	0.004689	82029700
428	0.006170	0.004701	82422879
429	0.006241	0.004766	82797399
430	0.006208	0.004808	83181402
431	0.006320	0.004940	83615018
432	0.006348	0.004770	84021414
433	0.006369	0.004925	84444771
434	0.006423	0.004919	84868269
435	0.006561	0.005004	85295828
436	0.006503	0.005252	85705584
437	0.006487	0.005026	86148589
438	0.006467	0.005044	86579257
439	0.006508	0.004994	86958881
440	0.006490	0.005026	87380997
441	0.006577	0.004914	87815051
442	0.006786	0.004949	88233831
443	0.006801	0.005325	88628447
444	0.006610	0.005156	89119138
445	0.006707	0.005123	89547871
446	0.006714	0.005165	89998949
447	0.006737	0.005133	90447328
448	0.006746	0.005225	90878379
449	0.006755	0.005141	91295149
450	0.006766	0.005206	91755868
451	0.006776	0.005113	92194666
452	0.006668	0.005047	92600763
453	0.006669	0.005062	93008532
454	0.006700	0.005062	93420265
455	0.006682	0.005089	93840974
456	0.006699	0.005116	94292397
457	0.006724	0.005136	94708910
458	0.006738	0.005102	95110448
459	0.006750	0.005129	95536806
460	0.006801	0.005149	96006938
461	0.006848	0.005125	96414925
462	0.006827	0.005219	96842737
463	0.006805	0.005288	97305361
464	0.006861	0.005255	97762680
465	0.006909	0.005218	98211377
466	0.006929	0.005313	98697895
467	0.006869	0.005295	99159040
468	0.006885	0.005476	99671311
469	0.006901	0.005344	100158189
470	0.006943	0.005323	100615614
471	0.006948	0.005244	101055276
472	0.006973	0.005300	101499340
473	0.006959	0.005364	101945145
474	0.007025	0.005441	102388068
475	0.007033	0.005300	102805432
